# "X"	"Y"	"Inline"	"Crossline"	"Z"	"Amplitude"
# - - - - - - - - - -
1710323.56	5828482.26	1210	1984	519.336700439453125	1e30
1710325.69	5828494.57	1210	1985	519.29706335067749	1e30
1710327.81	5828506.89	1210	1986	519.227921962738037	1e30
1710329.93	5828519.20	1210	1987	519.16581392288208	1e30
1710332.06	5828531.52	1210	1988	519.02925968170166	1e30
1710334.18	5828543.83	1210	1989	518.85116100311279	1e30
1710336.30	5828556.15	1210	1990	518.76068115234375	1e30
1710338.42	5828568.46	1210	1991	518.8523530960083	1e30
1710340.55	5828580.78	1210	1992	518.735170364379883	1e30
1710342.67	5828593.09	1210	1993	518.472373485565186	1e30
1710344.79	5828605.41	1210	1994	518.368780612945557	1e30
1710346.92	5828617.72	1210	1995	518.732249736785889	1e30
1710349.04	5828630.04	1210	1996	519.141256809234619	1e30
1710355.41	5828666.99	1210	1999	518.636822700500488	1e30
1710357.53	5828679.30	1210	2000	518.685340881347656	1e30
1710359.65	5828691.62	1210	2001	518.854260444641113	1e30
1710361.78	5828703.93	1210	2002	519.097268581390381	1e30
1710363.90	5828716.25	1210	2003	519.432544708251953	1e30
1710366.02	5828728.56	1210	2004	519.647955894470215	1e30
1710368.14	5828740.88	1210	2005	519.740700721740723	1e30
1710370.27	5828753.19	1210	2006	519.809603691101074	1e30
1710372.39	5828765.51	1210	2007	519.7184681892395	1e30
1710374.51	5828777.82	1210	2008	519.479036331176758	1e30
1710376.64	5828790.14	1210	2009	519.352138042449951	1e30
1710378.76	5828802.45	1210	2010	519.399702548980713	1e30
1710380.88	5828814.77	1210	2011	519.5125937461853	1e30
1710383.00	5828827.08	1210	2012	519.507646560668945	1e30
1710385.13	5828839.40	1210	2013	519.6232795715332	1e30
1710387.25	5828851.71	1210	2014	519.647181034088135	1e30
1710389.37	5828864.03	1210	2015	519.395232200622559	1e30
1710391.50	5828876.34	1210	2016	518.998980522155762	1e30
1710393.62	5828888.66	1210	2017	518.731951713562012	1e30
1710399.99	5828925.61	1210	2020	519.884169101715088	1e30
1710406.36	5828962.55	1210	2023	519.538342952728271	1e30
1710408.48	5828974.87	1210	2024	519.404411315917969	1e30
1710410.60	5828987.18	1210	2025	519.075632095336914	1e30
1710421.22	5829048.76	1210	2030	518.10950040817261	1e30
1710423.34	5829061.07	1210	2031	517.369985580444336	1e30
1710425.46	5829073.39	1210	2032	516.473591327667236	1e30
1710427.58	5829085.70	1210	2033	515.91587066650391	1e30
1710429.71	5829098.02	1210	2034	515.844345092773438	1e30
1710431.83	5829110.33	1210	2035	516.067385673522949	1e30
1710436.08	5829134.96	1210	2037	516.247153282165527	1e30
1710438.20	5829147.28	1210	2038	516.185641288757324	1e30
